date,description,amount
2025-08-04,LANDLORD PAYMENT - RENT,-2025.0
2025-08-04,PROPERTY MANAGEMENT FEE,-101.25
2025-08-04,PAYCHECK - DIRECT DEPOSIT,3200
2025-08-04,STARBUCKS #338,-9.08
2025-08-04,CHIPOTLE MEXICAN #836,-25.86
2025-08-04,SHELL GAS STATION,-56.17
2025-08-04,UBER RIDE,-20.17
2025-08-05,STARBUCKS #743,-10.22
2025-08-05,STARBUCKS #646,-12.16
2025-08-05,SHELL GAS STATION,-49.07
2025-08-05,AMAZON MARKETPLACE,-182.04
2025-08-05,MCDONALD RESTAURANT,-77.39
2025-08-06,STARBUCKS #967,-9.1
2025-08-06,CHIPOTLE MEXICAN #911,-24.97
2025-08-06,CHIPOTLE MEXICAN #564,-23.12
2025-08-06,CHEVRON FUEL,-65.64
2025-08-06,TARGET STORE,-93.4
2025-08-07,STARBUCKS #858,-9.14
2025-08-07,PANERA BREAD #652,-24.34
2025-08-07,ROSS STORE,-147.19
2025-08-08,NETFLIX SUBSCRIPTION,-21.59
2025-08-08,SPOTIFY PREMIUM,-13.49
2025-08-08,STARBUCKS #786,-10.58
2025-08-08,DUNKIN DONUTS #755,-8.46
2025-08-09,STARBUCKS #928,-16.66
2025-08-09,STARBUCKS #204,-18.07
2025-08-09,STARBUCKS #777,-12.52
2025-08-09,CHIPOTLE MEXICAN #621,-39.86
2025-08-09,TRADER JOES,-52.04
2025-08-10,GYM MEMBERSHIP,-67.49
2025-08-10,STARBUCKS #181,-14.29
2025-08-10,CHIPOTLE MEXICAN #111,-33.95
2025-08-10,TRADER JOES,-70.06
2025-08-10,TARGET STORE,-96.86
2025-08-10,IMPULSE LUXURY WATCH,-3200.0
2025-08-11,DISNEY+ STREAMING,-10.79
2025-08-11,STARBUCKS #473,-12.18
2025-08-11,STARBUCKS #763,-13.89
2025-08-11,DUNKIN DONUTS #680,-7.66
2025-08-11,CHIPOTLE MEXICAN #282,-23.75
2025-08-11,TARGET STORE,-75.98
2025-08-12,IKEA FURNITURE,-339.66
2025-08-13,HULU SUBSCRIPTION,-20.24
2025-08-13,TARGET STORE,-145.73
2025-08-14,STARBUCKS #144,-10.05
2025-08-15,AMAZON PRIME MEMBERSHIP,-28.48
2025-08-15,UNKNOWN APP PURCHASE,-4.04
2025-08-15,CHIPOTLE MEXICAN #641,-28.46
2025-08-16,CHIPOTLE MEXICAN #470,-34.35
2025-08-16,CHEVRON FUEL,-66.61
2025-08-17,DUNKIN DONUTS #352,-11.08
2025-08-17,TARGET STORE,-133.84
2025-08-17,CVS PHARMACY,-54.57
2025-08-18,ELECTRIC COMPANY - MONTHLY,-148.82
2025-08-18,GAS UTILITY BILL,-113.4
2025-08-18,PAYCHECK - DIRECT DEPOSIT,3200
2025-08-18,STARBUCKS #303,-8.7
2025-08-18,DUNKIN DONUTS #758,-10.85
2025-08-18,CHIPOTLE MEXICAN #981,-26.18
2025-08-18,SHELL GAS STATION,-54.77
2025-08-18,SHELL GAS STATION,-61.8
2025-08-19,PANERA BREAD #775,-18.3
2025-08-19,WHOLE FOODS MARKET,-122.16
2025-08-19,TRADER JOES,-55.42
2025-08-19,CVS PHARMACY,-18.45
2025-08-20,PANERA BREAD #214,-21.74
