date,description,amount
2025-08-04,LANDLORD PAYMENT - RENT,-850.0
2025-08-04,PROPERTY MANAGEMENT FEE,-75
2025-08-04,PAYCHECK - DIRECT DEPOSIT,1200.0
2025-08-04,STARBUCKS #338,-3.35
2025-08-04,CHIPOTLE MEXICAN #836,-9.53
2025-08-04,SHELL GAS STATION,-41.61
2025-08-04,UBER RIDE,-14.94
2025-08-05,STARBUCKS #743,-3.77
2025-08-05,STARBUCKS #646,-4.48
2025-08-05,SHELL GAS STATION,-36.35
2025-08-05,AMAZON MARKETPLACE,-95.81
2025-08-05,MCDONALD RESTAURANT,-40.73
2025-08-06,STARBUCKS #967,-3.35
2025-08-06,CHIPOTLE MEXICAN #911,-9.2
2025-08-06,CHIPOTLE MEXICAN #564,-8.52
2025-08-06,CHEVRON FUEL,-48.62
2025-08-06,TARGET STORE,-49.16
2025-08-07,STARBUCKS #858,-3.37
2025-08-07,PANERA BREAD #652,-8.97
2025-08-07,ROSS STORE,-77.47
2025-08-08,NETFLIX SUBSCRIPTION,-15.99
2025-08-08,SPOTIFY PREMIUM,-9.99
2025-08-08,STARBUCKS #786,-3.9
2025-08-08,DUNKIN DONUTS #755,-4.45
2025-08-09,STARBUCKS #928,-6.14
2025-08-09,STARBUCKS #204,-6.66
2025-08-09,STARBUCKS #777,-4.61
2025-08-09,CHIPOTLE MEXICAN #621,-14.69
2025-08-09,TRADER JOES,-38.55
2025-08-10,GYM MEMBERSHIP,-49.99
2025-08-10,STARBUCKS #181,-5.26
2025-08-10,CHIPOTLE MEXICAN #111,-12.51
2025-08-10,TRADER JOES,-51.9
2025-08-10,TARGET STORE,-50.98
2025-08-11,DISNEY+ STREAMING,-7.99
2025-08-11,STARBUCKS #473,-4.49
2025-08-11,STARBUCKS #763,-5.12
2025-08-11,DUNKIN DONUTS #680,-4.03
2025-08-11,CHIPOTLE MEXICAN #282,-8.75
2025-08-11,TARGET STORE,-39.99
2025-08-12,IKEA FURNITURE,-251.6
2025-08-13,HULU SUBSCRIPTION,-14.99
2025-08-13,TARGET STORE,-76.7
2025-08-14,STARBUCKS #144,-3.7
2025-08-15,AMAZON PRIME MEMBERSHIP,-14.99
2025-08-15,UNKNOWN APP PURCHASE,-2.99
2025-08-15,CHIPOTLE MEXICAN #641,-10.49
2025-08-16,CHIPOTLE MEXICAN #470,-12.66
2025-08-16,CHEVRON FUEL,-49.34
2025-08-17,DUNKIN DONUTS #352,-5.83
2025-08-17,TARGET STORE,-70.44
2025-08-17,CVS PHARMACY,-40.42
2025-08-18,ELECTRIC COMPANY - MONTHLY,-110.24
2025-08-18,GAS UTILITY BILL,-84.0
2025-08-18,PAYCHECK - DIRECT DEPOSIT,1200.0
2025-08-18,STARBUCKS #303,-3.21
2025-08-18,DUNKIN DONUTS #758,-5.71
2025-08-18,CHIPOTLE MEXICAN #981,-9.65
2025-08-18,SHELL GAS STATION,-40.57
2025-08-18,SHELL GAS STATION,-45.78
2025-08-19,PANERA BREAD #775,-6.74
2025-08-19,WHOLE FOODS MARKET,-90.49
2025-08-19,TRADER JOES,-41.05
2025-08-19,CVS PHARMACY,-13.67
2025-08-20,PANERA BREAD #214,-8.01
2025-08-20,TRADER JOES,-46.51
2025-08-20,SHELL GAS STATION,-39.86
2025-08-20,UBER EATS,-47.06
2025-08-21,INTERNET SERVICE PROVIDER,-79.99
2025-08-21,STARBUCKS #691,-4.96
2025-08-22,TRADER JOES,-56.91
2025-08-22,BEST BUY ELECTRONICS,-153.44
2025-08-23,WATER & SEWER UTILITY,-49.5
2025-08-23,APP STORE CHARGE,-4.99
2025-08-23,DUNKIN DONUTS #432,-5.67
2025-08-23,CHIPOTLE MEXICAN #494,-12.72
2025-08-23,CHIPOTLE MEXICAN #649,-10.36
2025-08-23,SUBWAY SANDWICH,-33.7
2025-08-24,STARBUCKS #529,-6.47
2025-08-24,STARBUCKS #259,-5.41
2025-08-24,STARBUCKS #487,-5.99
2025-08-24,PANERA BREAD #878,-12.82
